seed,metric,matlab_value,python_value,abs_error,pass
21,acc_main,0.986687260959106,0.986687260959106,0,1
21,acc_turn,0.952927331568108,0.952927331568108,0,1
21,acc_turn_pure,0.981869016351775,0.981869016351775,0,1
21,acc_turn_transition,0.762409369771333,0.762409369771333,0,1
21,theta_mae_deg,0.458984983771601,0.458979606628418,5.37714318310512e-06,1
21,flat_recall,0.98762157382847,0.98762157382847,0,1
21,stall_recall,0.972062448644207,0.972062448644207,0,1
21,slope_recall,0.989018377409233,0.989018377409233,0,1
21,uphill_recall,0.994418604651163,0.994418604651163,0,1
21,downhill_recall,0.983996539792388,0.983996539792388,0,1
21,theta_abs_le_8_mae_deg,0.458984983771602,0.458979606628418,5.37714318371574e-06,1
21,theta_abs_le_10_mae_deg,0.458984983771602,0.458979606628418,5.37714318371574e-06,1
21,theta_pos_6_8_mae_deg,0.853021499120375,0.852973401546478,4.80975738968992e-05,1
21,theta_pos_6_8_bias_deg,-0.70495496012499,-0.704788625240326,0.00016633488466411,0
21,theta_neg_8_6_mae_deg,0.543323688811369,0.543389201164246,6.55123528765511e-05,1
21,theta_neg_8_6_bias_deg,0.376836862738244,0.376767456531525,6.94062067195245e-05,1
