seed,metric,matlab_value,python_value,abs_error,pass
42,acc_main,0.978329809725159,0.978329809725159,0,1
42,acc_turn,0.940803382663848,0.940803382663848,0,1
42,acc_turn_pure,0.953307392996109,0.953307392996109,0,1
42,acc_turn_transition,0.698924731182796,0.698924731182796,0,1
42,theta_mae_deg,0.490640108609755,0.490644216537476,4.10792772082003e-06,1
42,flat_recall,0.9938884644767,0.9938884644767,0,1
42,stall_recall,0.903846153846154,0.903846153846154,0,1
42,slope_recall,0.947269303201507,0.947269303201507,0,1
42,uphill_recall,0.826446280991736,0.826446280991736,0,1
42,downhill_recall,0.720848056537102,0.720848056537102,0,1
42,theta_abs_le_8_mae_deg,0.490640108609755,0.490644246339798,4.13773004337425e-06,1
42,theta_abs_le_10_mae_deg,0.490640108609755,0.490644246339798,4.13773004337425e-06,1
42,theta_pos_6_8_mae_deg,0.530782982903364,0.530986785888672,0.000203802985307422,1
42,theta_pos_6_8_bias_deg,-0.182655076669805,-0.182513654232025,0.000141422437779565,1
42,theta_neg_8_6_mae_deg,0.388239962933312,0.38798388838768,0.000256074545632146,1
42,theta_neg_8_6_bias_deg,0.257799911681583,0.257753759622574,4.6152059009541e-05,1
