seed,metric,matlab_value,python_value,abs_error,pass
21,acc_main,0.986687260959106,0.986687260959106,0,1
21,acc_turn,0.952927331568108,0.952927331568108,0,1
21,acc_turn_pure,0.981869016351775,0.981869016351775,0,1
21,acc_turn_transition,0.762409369771333,0.762409369771333,0,1
21,theta_mae_deg,0.541476755656358,0.541459560394287,1.71952620704463e-05,1
21,flat_recall,0.98762157382847,0.98762157382847,0,1
21,stall_recall,0.972062448644207,0.972062448644207,0,1
21,slope_recall,0.989018377409233,0.989018377409233,0,1
21,uphill_recall,0.994418604651163,0.994418604651163,0,1
21,downhill_recall,0.983996539792388,0.983996539792388,0,1
21,theta_abs_le_8_mae_deg,0.541476755656358,0.541459560394287,1.71952620711124e-05,1
21,theta_abs_le_10_mae_deg,0.541476755656358,0.541459560394287,1.71952620711124e-05,1
21,theta_pos_6_8_mae_deg,0.679766920758286,0.679651141166687,0.000115779591598697,0
21,theta_pos_6_8_bias_deg,-0.626767033952467,-0.626578271389008,0.000188762563459011,0
21,theta_neg_8_6_mae_deg,0.856705826876786,0.856571197509766,0.000134629367019912,0
21,theta_neg_8_6_bias_deg,0.839715293295148,0.839573562145233,0.000141731149915336,0
