seed,metric,matlab_value,python_value,abs_error,pass
21,acc_main,0.986687260959106,0.986687260959106,0,1
21,acc_turn,0.952927331568108,0.952927331568108,0,1
21,acc_turn_pure,0.981869016351775,0.981869016351775,0,1
21,acc_turn_transition,0.762409369771333,0.762409369771333,0,1
21,theta_mae_deg,0.48684557522274,0.486827850341797,1.77248809435926e-05,1
21,flat_recall,0.98762157382847,0.98762157382847,0,1
21,stall_recall,0.972062448644207,0.972062448644207,0,1
21,slope_recall,0.989018377409233,0.989018377409233,0,1
21,uphill_recall,0.994418604651163,0.994418604651163,0,1
21,downhill_recall,0.983996539792388,0.983996539792388,0,1
