metric,ctrl_a,ctrl_b,n,p_raw,p_holm,cohen_d_paired,cliff_delta,median_diff_a_minus_b
ey_rmse,Mamba2,GRU,9,0.4375,0.4375,0.0548676993675219,0,0
ey_rmse,Mamba2,IMU,9,0.03125,0.09375,-0.858699663650486,-0.666666666666667,-0.0048043445649934
ey_rmse,GRU,IMU,9,0.03125,0.09375,-0.872383338025169,-0.666666666666667,-0.00417793903876975
epsi_rmse,Mamba2,GRU,9,0.4375,0.875,-0.403364334177181,0,0
epsi_rmse,Mamba2,IMU,9,0.03125,0.09375,-0.358925745055152,-0.666666666666667,-0.00153333264571463
epsi_rmse,GRU,IMU,9,0.84375,0.875,-0.311198871525159,-0.222222222222222,0
ev_rmse,Mamba2,GRU,9,0.0546875,0.12890625,1.03930427027369,0.333333333333333,0.0165290796880904
ev_rmse,Mamba2,IMU,9,0.0546875,0.12890625,-1.09587736536629,-0.333333333333333,-0.0392565296898087
ev_rmse,GRU,IMU,9,0.04296875,0.12890625,-1.07956780463764,-0.333333333333333,-0.0557856093778991
eomega_rmse,Mamba2,GRU,9,0.4375,1,-0.184350647125638,0,0
eomega_rmse,Mamba2,IMU,9,0.4375,1,-0.234762872017382,0.444444444444444,0.00147442275759321
eomega_rmse,GRU,IMU,9,0.84375,1,-0.206109567853291,-0.222222222222222,0
j_du,Mamba2,GRU,9,0.00390625,0.01171875,-16.2159785894416,-1,-1269.45391123839
j_du,Mamba2,IMU,9,0.42578125,0.42578125,-0.326738117879616,0.111111111111111,5338.55035339511
j_du,GRU,IMU,9,0.1015625,0.203125,-0.32462172137275,0.777777777777778,6478.73932789666
viol_rate,Mamba2,GRU,9,1,1,NaN,0,0
viol_rate,Mamba2,IMU,9,0.125,0.375,-0.363625879839102,-0.444444444444444,0
viol_rate,GRU,IMU,9,0.125,0.375,-0.363625879839102,-0.444444444444444,0
timeout_rate,Mamba2,GRU,9,1,1,NaN,0,0
timeout_rate,Mamba2,IMU,9,1,1,NaN,0,0
timeout_rate,GRU,IMU,9,1,1,NaN,0,0
