seed,metric,matlab_value,python_value,abs_error,pass
73,acc_main,0.975190301663378,0.975190301663378,0,1
73,acc_turn,0.789399492528898,0.789399492528898,0,1
73,acc_turn_pure,0.829816201497617,0.829816201497617,0,1
73,acc_turn_transition,0.594417077175698,0.594417077175698,0,1
73,theta_mae_deg,0.393102083545637,0.393102020025253,6.35203838417198e-08,1
73,flat_recall,0.986718317653569,0.986718317653569,0,1
73,stall_recall,0.885185185185185,0.885185185185185,0,1
73,slope_recall,0.977551020408163,0.977551020408163,0,1
73,uphill_recall,0.966932725199544,0.966932725199544,0,1
73,downhill_recall,0.993254637436762,0.993254637436762,0,1
